new_code_raw	old_code_raw	new_comment_raw	old_comment_raw	label	pre_label	AST_level	line_counts	new_code_token_num
public static TokenSequencePattern compile(SequencePattern.PatternExpr nodeSequencePattern) { return new TokenSequencePattern(null, nodeSequencePattern); }	"  public static TokenSequencePattern compile(Env env, String... strings)
  {
    try {
      List<SequencePattern.PatternExpr> patterns = new ArrayList<SequencePattern.PatternExpr>();
      for (String string:strings) {
        // TODO: Check token sequence parser?
        SequencePattern.PatternExpr pattern = env.parser.parseSequence(env, string);
        patterns.add(pattern);
      }
      SequencePattern.PatternExpr nodeSequencePattern = new SequencePattern.SequencePatternExpr(patterns);
      return new TokenSequencePattern(StringUtils.join(strings), nodeSequencePattern);
    } catch (Exception ex) {
      throw new RuntimeException(ex);
    }
  }
"	Compiles a PatternExpr into a TokenSequencePattern.	Compiles a sequence of regular expression a TokenSequencePattern using the specified environment.	1	0	5	5	20
private boolean isBreakOnOpcode(Integer opcode) { boolean shouldBreak = false; if (config.isBreakOnPingPong()) { // break on every message type shouldBreak = true; } else { // break only on non-ping/pong boolean isPing = opcode.equals(WebSocketMessage.OPCODE_PING); boolean isPong = opcode.equals(WebSocketMessage.OPCODE_PONG); if (!isPing && !isPong) { shouldBreak = true; } } return shouldBreak; }	"	private boolean isBreakOnOpcode(Integer opcode) {
		if (config.isBreakOnPingPong()) {
			// break on every message type
			return true;
		} else {
			// break only on non-ping/pong
			boolean isPing = opcode.equals(WebSocketMessage.OPCODE_PING);
			boolean isPong = opcode.equals(WebSocketMessage.OPCODE_PONG);
			
			if (!isPing && !isPong) {
				return true;
			}
		}
		return false;
	}
"	Check out if breakpoint should be applied on given  WebSocketMessageDTO#opcode.	Check out if breakpoint should be applied on given WebSocketMessageDTO#opcode.	0	1	9	17	80
public DataFetcher getDataFetcher(FieldCoordinates coordinates, GraphQLFieldDefinition fieldDefinition) { return getDataFetcherImpl(coordinates, fieldDefinition, dataFetcherMap, systemDataFetcherMap); }	"    public DataFetcher getDataFetcher(GraphQLFieldsContainer parentType, GraphQLFieldDefinition fieldDefinition) {
        return getDataFetcherImpl(parentType, fieldDefinition, dataFetcherMap, systemDataFetcherMap);
    }
"	Returns a data fetcher associated with a field located at specified coordinates.	Returns a data fetcher associated with a field within a container type	1	0	5	4	24
public static RelNode createDistinctRel(RelNode rel) { return LogicalAggregate.create(rel, ImmutableBitSet.range(rel.getRowType().getFieldCount()), null, ImmutableList.of()); }	"  public static RelNode createDistinctRel(RelNode rel) {
    return LogicalAggregate.create(rel,
        ImmutableBitSet.range(rel.getRowType().getFieldCount()), null,
        ImmutableList.<AggregateCall>of());
  }
"	Creates a LogicalAggregate that removes all duplicates from the result of an underlying relational expression.	Creates a LogicalAggregate that removes all duplicates from the result of an underlying relational expression.	0	1	7	6	36
public static List<SLARegistrationBean> fromJSONArray(JSONArray array) { List<SLARegistrationBean> list = new ArrayList<SLARegistrationBean>(); for (Object obj : array) { list.add(new SLARegistrationBean((JSONObject) obj)); } return list; }	"    public static List<SLAEvent> fromJSONArray(JSONArray array) {
        List<SLAEvent> list = new ArrayList<SLAEvent>();
        for (Object obj : array) {
            list.add(new JsonSLARegistrationEvent((JSONObject) obj));
        }
        return list;
    }
"	Convert a JSONArray into a SLARegistrationBean list.	Convert a JSONArray into a SLAEvent list.	1	0	9	9	45
public static EString substring(Expr<String> left, int right) { return factory.createString(Ops.SUBSTR1ARG, left, factory.createConstant(right)); }	"    public static EString substring(Expr<String> left, int right) {
        return createString(Ops.SUBSTR1ARG, left, createConstant(right));
    }
"	Expr : left.substring(right)	Expr : left.substring(right)	0	1	6	4	30
public boolean isEmpty() { return this.tags.isEmpty(); }	"        public boolean isEmpty() {
            return tags.isEmpty();
        }
"	Checks if the tag stack is empty	DOCUMENT ME!	1	0	5	5	14
public static EDateTime<Date> currentTimestamp() { return currentTimestamp(Date.class); }	"    public static EDateTime<Date> currentTimestamp() {
        return ODateTime.create(Date.class, Ops.DateTimeOps.CURRENT_TIMESTAMP);
    }
"	Get an expression representing the current time instant as a EDateTime instance	Get an expression representing the current time instant as a EDateTime instance	0	1	6	4	16
"public static String getReconcileHashCode(TreeMap<String, AtomicInteger> instanceCountMap) { String reconcileHashCode = """"; for (Map.Entry<String, AtomicInteger> mapEntry : instanceCountMap .entrySet()) { reconcileHashCode = reconcileHashCode + mapEntry.getKey() + STATUS_DELIMITER + mapEntry.getValue().get() + STATUS_DELIMITER; } return reconcileHashCode; }"	"    public String getReconcileHashCode() {
        TreeMap<String, AtomicInteger> instanceCountMap = new TreeMap<String, AtomicInteger>();
        populateInstanceCountMap(instanceCountMap);
        return getReconcileHashCode(instanceCountMap);
    }
"	Gets the reconciliation hashcode.	Gets the hash code for this applications instance.	1	0	11	11	57
"public int yylex() throws java.io.IOException { int yy_input; int yy_action; // cached fields: int yy_currentPos_l; int yy_startRead_l; int yy_markedPos_l; int yy_endRead_l = yy_endRead; char[] yy_buffer_l = yy_buffer; char[] yycmap_l = yycmap; int[] yytrans_l = yytrans; int[] yy_rowMap_l = yy_rowMap; byte[] yy_attr_l = YY_ATTRIBUTE; while (true) { yy_markedPos_l = yy_markedPos; yy_action = -1; yy_startRead_l = yy_currentPos_l = yy_currentPos = yy_startRead = yy_markedPos_l; yy_state = yy_lexical_state; yy_forAction: { while (true) { if (yy_currentPos_l < yy_endRead_l) { yy_input = yy_buffer_l[yy_currentPos_l++]; } else if (yy_atEOF) { yy_input = YYEOF; break yy_forAction; } else { // store back cached positions yy_currentPos = yy_currentPos_l; yy_markedPos = yy_markedPos_l; boolean eof = yy_refill(); // get translated positions and possibly new buffer yy_currentPos_l = yy_currentPos; yy_markedPos_l = yy_markedPos; yy_buffer_l = yy_buffer; yy_endRead_l = yy_endRead; if (eof) { yy_input = YYEOF; break yy_forAction; } else { yy_input = yy_buffer_l[yy_currentPos_l++]; } } int yy_next = yytrans_l[yy_rowMap_l[yy_state] + yycmap_l[yy_input]]; if (yy_next == -1) { break yy_forAction; } yy_state = yy_next; int yy_attributes = yy_attr_l[yy_state]; if ((yy_attributes & 1) == 1) { yy_action = yy_state; yy_markedPos_l = yy_currentPos_l; if ((yy_attributes & 8) == 8) { break yy_forAction; } } } } // store back cached position yy_markedPos = yy_markedPos_l; switch (yy_action) { case 4: case 9: case 10: case 13: { return ACCEPT; } case 19: break; case 5: case 6: case 7: { return IGNORE; } case 20: break; case 2: { return IGNORE; } case 21: break; case 15: { yybegin(SENTENCE); /* System.out.println(""Beginning of sentence""); */ return ACCEPT; } case 22: break; case 3: { System.out.print(yytext()); } case 23: break; case 16: case 17: { yybegin(YYINITIAL); /* System.out.println(""End of sentence""); */ return ACCEPT; } case 24: break; default: if (yy_input == YYEOF && yy_startRead == yy_currentPos) { yy_atEOF = true; return YYEOF; } else { yy_ScanError(YY_NO_MATCH); } } } }"	"  public int yylex() throws java.io.IOException {
    int zzInput;
    int zzAction;

    // cached fields:
    int zzCurrentPosL;
    int zzMarkedPosL;
    int zzEndReadL = zzEndRead;
    char [] zzBufferL = zzBuffer;
    char [] zzCMapL = ZZ_CMAP;

    int [] zzTransL = ZZ_TRANS;
    int [] zzRowMapL = ZZ_ROWMAP;
    int [] zzAttrL = ZZ_ATTRIBUTE;

    while (true) {
      zzMarkedPosL = zzMarkedPos;

      zzAction = -1;

      zzCurrentPosL = zzCurrentPos = zzStartRead = zzMarkedPosL;
  
      zzState = ZZ_LEXSTATE[zzLexicalState];


      zzForAction: {
        while (true) {
    
          if (zzCurrentPosL < zzEndReadL)
            zzInput = zzBufferL[zzCurrentPosL++];
          else if (zzAtEOF) {
            zzInput = YYEOF;
            break zzForAction;
          }
          else {
            // store back cached positions
            zzCurrentPos  = zzCurrentPosL;
            zzMarkedPos   = zzMarkedPosL;
            boolean eof = zzRefill();
            // get translated positions and possibly new buffer
            zzCurrentPosL  = zzCurrentPos;
            zzMarkedPosL   = zzMarkedPos;
            zzBufferL      = zzBuffer;
            zzEndReadL     = zzEndRead;
            if (eof) {
              zzInput = YYEOF;
              break zzForAction;
            }
            else {
              zzInput = zzBufferL[zzCurrentPosL++];
            }
          }
          int zzNext = zzTransL[ zzRowMapL[zzState] + zzCMapL[zzInput] ];
          if (zzNext == -1) break zzForAction;
          zzState = zzNext;

          int zzAttributes = zzAttrL[zzState];
          if ( (zzAttributes & 1) == 1 ) {
            zzAction = zzState;
            zzMarkedPosL = zzCurrentPosL;
            if ( (zzAttributes & 8) == 8 ) break zzForAction;
          }

        }
      }

      // store back cached position
      zzMarkedPos = zzMarkedPosL;

      switch (zzAction < 0 ? zzAction : ZZ_ACTION[zzAction]) {
        case 5: 
          { yybegin(YYINITIAL);
                     /* System.out.println(""End of sentence""); */
                            return ACCEPT;
          }
        case 6: break;
        case 3: 
          { return ACCEPT;
          }
        case 7: break;
        case 4: 
          { yybegin(SENTENCE);
			  /* System.out.println(""Beginning of sentence""); */
			  return ACCEPT;
          }
        case 8: break;
        case 2: 
          { System.out.print(yytext());
          }
        case 9: break;
        case 1: 
          { return IGNORE;
          }
        case 10: break;
        default: 
          if (zzInput == YYEOF && zzStartRead == zzCurrentPos) {
            zzAtEOF = true;
            return YYEOF;
          } 
          else {
            zzScanError(ZZ_NO_MATCH);
          }
      }
    }
  }
"	Resumes scanning until the next regular expression is matched, the end of input is encountered or an I/O-Error occurs.	Resumes scanning until the next regular expression is matched, the end of input is encountered or an I/O-Error occurs.	0	1	17	131	441
protected TokenResponse executeRefreshToken() throws IOException { if (refreshToken == null) { return null; } return new RefreshTokenRequest(transport, jsonFactory, new GenericUrl(tokenServerEncodedUrl), refreshToken).setClientAuthentication(clientAuthentication) .setRequestInitializer(requestInitializer).execute(); }	"  protected TokenResponse executeRefreshToken() throws IOException {
    return new RefreshTokenRequest(transport, jsonFactory, new GenericUrl(tokenServerEncodedUrl),
        refreshToken).setClientAuthentication(clientAuthentication)
        .setRequestInitializer(requestInitializer).execute();
  }
"	Executes a request for new credentials from the token server.	Executes the request for a new refresh token from the authorization endpoint from #refreshToken().	1	0	6	10	47
public List<Pet> findPetsByTags(List<String> tags) throws ApiException { ApiResponse<List<Pet>> localVarResp = findPetsByTagsWithHttpInfo(tags); return localVarResp.getData(); }	"    public List<Pet> findPetsByTags(List<String> tags) throws ApiException {
        ApiResponse<List<Pet>> resp = findPetsByTagsWithHttpInfo(tags);
        return resp.getData();
    }
"	Finds Pets by tags	Finds Pets by tags	0	1	8	5	28
"public ClassLoader getClassLoader() { SecurityManager smgr = System.getSecurityManager(); ClassLoader loader = getClassLoaderImpl(); if (smgr != null && loader != null) { ClassLoader calling = VMStack.getCallingClassLoader(); if (calling != null && !calling.isAncestorOf(loader)) { smgr.checkPermission(new RuntimePermission(""getClassLoader"")); } } if (this.isPrimitive()) { return null; } if (loader == null) { loader = BootClassLoader.getInstance(); } return loader; }"	"    public ClassLoader getClassLoader() {
        SecurityManager smgr = System.getSecurityManager();
        if (smgr != null) {
            ClassLoader calling = VMStack.getCallingClassLoader();
            ClassLoader current = getClassLoaderImpl();

            if (calling != null && !calling.getClass().isInstance(current)) {
                smgr.checkPermission(new RuntimePermission(""getClassLoader""));
            }
        }
        
        ClassLoader loader = getClassLoaderImpl();
        if (loader == null) {
            loader = BootClassLoader.getInstance();
        }
        
        return loader;
    }
"	Returns the class loader which was used to load the class represented by this  Class.	Returns the class loader which was used to load the class represented by the receiver.	1	0	10	23	96
"protected boolean performInitialSync() { try { delaySnapshotIfNeeded(); } catch (InterruptedException e) { logger.info(""Interrupted while awaiting initial snapshot delay""); return false; } logger.info(""Beginning initial sync of '{}' at {}"", rsName, source.lastOffset(rsName)); source.startInitialSync(replicaSet.replicaSetName()); // Set up our recorder to buffer the last record ... try { bufferedRecorder.startBuffering(); } catch (InterruptedException e) { // Do nothing so that this thread is terminated ... logger.info(""Interrupted while waiting to flush the buffer before starting an initial sync of '{}'"", rsName); return false; } // Get the current timestamp of this processor ... final long syncStart = clock.currentTimeInMillis(); // We need to copy each collection, so put the collection IDs into a queue ... final List<CollectionId> collections = primaryClient.collections(); final Queue<CollectionId> collectionsToCopy = new ConcurrentLinkedQueue<>(collections); final int numThreads = Math.min(collections.size(), context.getConnectionContext().maxNumberOfCopyThreads()); final CountDownLatch latch = new CountDownLatch(numThreads); final AtomicBoolean aborted = new AtomicBoolean(false); final AtomicInteger replicatorThreadCounter = new AtomicInteger(0); final AtomicInteger numCollectionsCopied = new AtomicInteger(); final AtomicLong numDocumentsCopied = new AtomicLong(); // And start threads to pull collection IDs from the queue and perform the copies ... logger.info(""Preparing to use {} thread(s) to sync {} collection(s): {}"", numThreads, collections.size(), Strings.join("", "", collections)); for (int i = 0; i != numThreads; ++i) { copyThreads.submit(() -> { context.configureLoggingContext(replicaSet.replicaSetName() + ""-sync"" + replicatorThreadCounter.incrementAndGet()); // Continue to pull a collection ID and copy the collection ... try { CollectionId id = null; while (!aborted.get() && (id = collectionsToCopy.poll()) != null) { long start = clock.currentTimeInMillis(); logger.info(""Starting initial sync of '{}'"", id); long numDocs = copyCollection(id, syncStart); numCollectionsCopied.incrementAndGet(); numDocumentsCopied.addAndGet(numDocs); long duration = clock.currentTimeInMillis() - start; logger.info(""Completing initial sync of {} documents from '{}' in {}"", numDocs, id, Strings.duration(duration)); } } catch (InterruptedException e) { // Do nothing so that this thread is terminated ... aborted.set(true); } finally { latch.countDown(); } }); } // Wait for all of the threads to complete ... try { latch.await(); } catch (InterruptedException e) { Thread.interrupted(); aborted.set(true); } this.copyThreads.shutdown(); // Stopping the replicator does not interrupt *our* thread but does interrupt the copy threads. // Therefore, check the aborted state here ... long syncDuration = clock.currentTimeInMillis() - syncStart; if (aborted.get()) { int remaining = collections.size() - numCollectionsCopied.get(); logger.info(""Initial sync aborted after {} with {} of {} collections incomplete"", Strings.duration(syncDuration), remaining, collections.size()); return false; } // We completed the initial sync, so record this in the source ... source.stopInitialSync(replicaSet.replicaSetName()); try { // And immediately flush the last buffered source record with the updated offset ... bufferedRecorder.stopBuffering(source.lastOffset(rsName)); } catch (InterruptedException e) { logger.info(""Interrupted while waiting for last initial sync record from replica set '{}' to be recorded"", rsName); return false; } logger.info(""Initial sync of {} collections with a total of {} documents completed in {}"", collections.size(), numDocumentsCopied.get(), Strings.duration(syncDuration)); return true; }"	"    protected boolean performInitialSync() {
        delaySnapshotIfNeeded();

        logger.info(""Beginning initial sync of '{}' at {}"", rsName, source.lastOffset(rsName));
        source.startInitialSync(replicaSet.replicaSetName());

        // Set up our recorder to buffer the last record ...
        try {
            bufferedRecorder.startBuffering();
        } catch (InterruptedException e) {
            // Do nothing so that this thread is terminated ...
            logger.info(""Interrupted while waiting to flush the buffer before starting an initial sync of '{}'"", rsName);
            return false;
        }

        // Get the current timestamp of this processor ...
        final long syncStart = clock.currentTimeInMillis();

        // We need to copy each collection, so put the collection IDs into a queue ...
        final List<CollectionId> collections = primaryClient.collections();
        final Queue<CollectionId> collectionsToCopy = new ConcurrentLinkedQueue<>(collections);
        final int numThreads = Math.min(collections.size(), context.getConnectionContext().maxNumberOfCopyThreads());
        final CountDownLatch latch = new CountDownLatch(numThreads);
        final AtomicBoolean aborted = new AtomicBoolean(false);
        final AtomicInteger replicatorThreadCounter = new AtomicInteger(0);
        final AtomicInteger numCollectionsCopied = new AtomicInteger();
        final AtomicLong numDocumentsCopied = new AtomicLong();

        // And start threads to pull collection IDs from the queue and perform the copies ...
        logger.info(""Preparing to use {} thread(s) to sync {} collection(s): {}"",
                    numThreads, collections.size(), Strings.join("", "", collections));
        for (int i = 0; i != numThreads; ++i) {
            copyThreads.submit(() -> {
                context.configureLoggingContext(replicaSet.replicaSetName() + ""-sync"" + replicatorThreadCounter.incrementAndGet());
                // Continue to pull a collection ID and copy the collection ...
                try {
                    CollectionId id = null;
                    while (!aborted.get() && (id = collectionsToCopy.poll()) != null) {
                        long start = clock.currentTimeInMillis();
                        logger.info(""Starting initial sync of '{}'"", id);
                        long numDocs = copyCollection(id, syncStart);
                        numCollectionsCopied.incrementAndGet();
                        numDocumentsCopied.addAndGet(numDocs);
                        long duration = clock.currentTimeInMillis() - start;
                        logger.info(""Completing initial sync of {} documents from '{}' in {}"", numDocs, id, Strings.duration(duration));
                    }
                } catch (InterruptedException e) {
                    // Do nothing so that this thread is terminated ...
                    aborted.set(true);
                } finally {
                    latch.countDown();
                }
            });
        }

        // Wait for all of the threads to complete ...
        try {
            latch.await();
        } catch (InterruptedException e) {
            Thread.interrupted();
            aborted.set(true);
        }
        this.copyThreads.shutdown();

        // Stopping the replicator does not interrupt *our* thread but does interrupt the copy threads.
        // Therefore, check the aborted state here ...
        long syncDuration = clock.currentTimeInMillis() - syncStart;
        if (aborted.get()) {
            int remaining = collections.size() - numCollectionsCopied.get();
            logger.info(""Initial sync aborted after {} with {} of {} collections incomplete"",
                        Strings.duration(syncDuration), remaining, collections.size());
            return false;
        }

        // We completed the initial sync, so record this in the source ...
        source.stopInitialSync(replicaSet.replicaSetName());
        try {
            // And immediately flush the last buffered source record with the updated offset ...
            bufferedRecorder.stopBuffering(source.lastOffset(rsName));
        } catch (InterruptedException e) {
            logger.info(""Interrupted while waiting for last initial sync record from replica set '{}' to be recorded"", rsName);
            return false;
        }

        logger.info(""Initial sync of {} collections with a total of {} documents completed in {}"",
                    collections.size(), numDocumentsCopied.get(), Strings.duration(syncDuration));
        return true;
    }
"	Perform the initial sync of the collections in the replica set.	Perform the initial sync of the collections in the replica set.	0	1	14	95	780
public Q addFetchGroup(String fetchGroupName) { fetchGroups.add(fetchGroupName); return queryMixin.getSelf(); }	"    public Q addFetchGroup(String fetchGroupName) {
        fetchGroups.add(fetchGroupName);
        return (Q) this;
    }
"	Add the fetch group to the set of active fetch groups.	Add the fetch group to the set of active fetch groups.	0	1	5	5	21
public Future<HttpResponse> executeAsync(Executor executor) { FutureTask<HttpResponse> future = new FutureTask<HttpResponse>(new Callable<HttpResponse>() { public HttpResponse call() throws Exception { return execute(); } }); executor.execute(future); return future; }	"  public Future<HttpResponse> executeAsync(Executor exec) {
    final SettableFuture<HttpResponse> future = SettableFuture.create();
    exec.execute(new Runnable() {
      public void run() {
        try {
          future.set(execute());
        } catch (IOException ex) {
          future.setException(ex);
        }
      }
    });
    return future;
  }
"	Executes this request asynchronously in a single separate thread using the supplied executor.	Executes this request asynchronously using #executeAsync(Executor) in a single separate thread using the supplied Executor.	1	0	9	12	49
"public Object readObject() throws JMSException { initializeReading(); try { this.dataIn.mark(65); int type = this.dataIn.read(); if (type == -1) { throw new MessageEOFException(""reached end of data""); } if (type == MarshallingSupport.NULL) { return null; } if (type == MarshallingSupport.BIG_STRING_TYPE) { return MarshallingSupport.readUTF8(dataIn); } if (type == MarshallingSupport.STRING_TYPE) { return this.dataIn.readUTF(); } if (type == MarshallingSupport.LONG_TYPE) { return Long.valueOf(this.dataIn.readLong()); } if (type == MarshallingSupport.INTEGER_TYPE) { return Integer.valueOf(this.dataIn.readInt()); } if (type == MarshallingSupport.SHORT_TYPE) { return Short.valueOf(this.dataIn.readShort()); } if (type == MarshallingSupport.BYTE_TYPE) { return Byte.valueOf(this.dataIn.readByte()); } if (type == MarshallingSupport.FLOAT_TYPE) { return new Float(this.dataIn.readFloat()); } if (type == MarshallingSupport.DOUBLE_TYPE) { return new Double(this.dataIn.readDouble()); } if (type == MarshallingSupport.BOOLEAN_TYPE) { return this.dataIn.readBoolean() ? Boolean.TRUE : Boolean.FALSE; } if (type == MarshallingSupport.CHAR_TYPE) { return Character.valueOf(this.dataIn.readChar()); } if (type == MarshallingSupport.BYTE_ARRAY_TYPE) { int len = this.dataIn.readInt(); byte[] value = new byte[len]; this.dataIn.readFully(value); return value; } else { this.dataIn.reset(); throw new MessageFormatException(""unknown type""); } } catch (NumberFormatException mfe) { try { this.dataIn.reset(); } catch (IOException ioe) { throw JMSExceptionSupport.create(ioe); } throw mfe; } catch (EOFException e) { JMSException jmsEx = new MessageEOFException(e.getMessage()); jmsEx.setLinkedException(e); throw jmsEx; } catch (IOException e) { JMSException jmsEx = new MessageFormatException(e.getMessage()); jmsEx.setLinkedException(e); throw jmsEx; } }"	"    public Object readObject() throws JMSException {
        initializeReading();
        try {
            this.dataIn.mark(65);
            int type = this.dataIn.read();
            if (type == -1) {
                throw new MessageEOFException(""reached end of data"");
            }
            if (type == MarshallingSupport.NULL) {
                return null;
            }
            if (type == MarshallingSupport.BIG_STRING_TYPE) {
                return MarshallingSupport.readUTF8(dataIn);
            }
            if (type == MarshallingSupport.STRING_TYPE) {
                return this.dataIn.readUTF();
            }
            if (type == MarshallingSupport.LONG_TYPE) {
                return new Long(this.dataIn.readLong());
            }
            if (type == MarshallingSupport.INTEGER_TYPE) {
                return new Integer(this.dataIn.readInt());
            }
            if (type == MarshallingSupport.SHORT_TYPE) {
                return new Short(this.dataIn.readShort());
            }
            if (type == MarshallingSupport.BYTE_TYPE) {
                return new Byte(this.dataIn.readByte());
            }
            if (type == MarshallingSupport.FLOAT_TYPE) {
                return new Float(this.dataIn.readFloat());
            }
            if (type == MarshallingSupport.DOUBLE_TYPE) {
                return new Double(this.dataIn.readDouble());
            }
            if (type == MarshallingSupport.BOOLEAN_TYPE) {
                return this.dataIn.readBoolean() ? Boolean.TRUE : Boolean.FALSE;
            }
            if (type == MarshallingSupport.CHAR_TYPE) {
                return new Character(this.dataIn.readChar());
            }
            if (type == MarshallingSupport.BYTE_ARRAY_TYPE) {
                int len = this.dataIn.readInt();
                byte[] value = new byte[len];
                this.dataIn.readFully(value);
                return value;
            } else {
                this.dataIn.reset();
                throw new MessageFormatException(""unknown type"");
            }
        } catch (NumberFormatException mfe) {
            try {
                this.dataIn.reset();
            } catch (IOException ioe) {
                throw JMSExceptionSupport.create(ioe);
            }
            throw mfe;

        } catch (EOFException e) {
            JMSException jmsEx = new MessageEOFException(e.getMessage());
            jmsEx.setLinkedException(e);
            throw jmsEx;
        } catch (IOException e) {
            JMSException jmsEx = new MessageFormatException(e.getMessage());
            jmsEx.setLinkedException(e);
            throw jmsEx;
        }
    }
"	Reads an object from the stream message.	Reads an object from the stream message.	0	1	9	69	388
public Actions sendKeys(CharSequence... keys) { if (isBuildingActions()) { action.addAction(new SendKeysAction(jsonKeyboard, jsonMouse, null, keys)); return this; } for (CharSequence key : keys) { key.codePoints().forEach(codePoint -> { tick(defaultKeyboard.createKeyDown(codePoint)); tick(defaultKeyboard.createKeyUp(codePoint)); }); } return this; }	"  public Actions sendKeys(CharSequence... keysToSend) {
    return this.sendKeys(null, keysToSend);
  }
"	Sends keys to the active element.	Sends keys to the active element.	0	1	12	16	78
public AtmosphereRequest getRequest() { return atmosphereRequest; }	"    public HttpServletRequest getRequest() {
        return atmosphereRequest;
    }
"	Return the associated  AtmosphereRequest	Return the associated HttpServletRequest	1	0	4	5	10
public View getActiveDecorView() { final View [] views = getWindowDecorViews(); final Activity activity = activityUtils.getCurrentActivity(false); if(views !=null && views.length > 0) { int length = views.length; for(int i = length - 1; i >= 0; i--){ if(activity.hasWindowFocus() && getCurrentViews(TextView.class,(ViewGroup) views[i]).size()==1) { return views[i]; } else if(activity.hasWindowFocus() && activity.getWindow().getDecorView().equals(views[i])){ return views[i]; } else if(!activity.hasWindowFocus() && !activity.getWindow().getDecorView().equals(views[i])){ return views[i]; } } return views[views.length-1]; } else return null; }	"	public View getActiveDecorView()
	{
		View [] views = getWindowDecorViews();
		Activity activity = activityUtils.getCurrentActivity(false);
		if(views !=null && views.length > 0)
		{
			int length = views.length;
			for(int i = length - 1; i >= 0; i--){
				if(activity.hasWindowFocus() && activity.getWindow().getDecorView().equals(views[i])){
					return views[i];
				}
				else if(!activity.hasWindowFocus() && !activity.getWindow().getDecorView().equals(views[i])){ 
					return views[i];
				}
			}
			return views[views.length-1];
		}
		else
			return null;
	}
"	Returns the active DecorView.	Returns the active DecorView.	0	1	15	25	173
"public ClusterSummary getClusterInfo() throws TException { long start = System.nanoTime(); try { StormClusterState stormClusterState = data.getStormClusterState(); Map<String, Assignment> assignments = new HashMap<String, Assignment>(); // get TopologySummary List<TopologySummary> topologySummaries = NimbusUtils.getTopologySummary(stormClusterState, assignments); // all supervisors Map<String, SupervisorInfo> supervisorInfos = Cluster.get_all_SupervisorInfo(stormClusterState, null); // generate SupervisorSummaries List<SupervisorSummary> supervisorSummaries = NimbusUtils.mkSupervisorSummaries(supervisorInfos, assignments); NimbusSummary nimbusSummary = NimbusUtils.getNimbusSummary(stormClusterState, supervisorSummaries, data); return new ClusterSummary(nimbusSummary, supervisorSummaries, topologySummaries); } catch (TException e) { LOG.info(""Failed to get ClusterSummary "", e); throw e; } catch (Exception e) { LOG.info(""Failed to get ClusterSummary "", e); throw new TException(e); } finally { long end = System.nanoTime(); SimpleJStormMetric.updateNimbusHistogram(""getClusterInfo"", (end - start) / TimeUtils.NS_PER_US); } }"	"    public ClusterSummary getClusterInfo() throws TException {
        long start = System.nanoTime();
        try {

            StormClusterState stormClusterState = data.getStormClusterState();

            Map<String, Assignment> assignments =
                    new HashMap<String, Assignment>();

            // get TopologySummary
            List<TopologySummary> topologySummaries =
                    NimbusUtils.getTopologySummary(stormClusterState,
                            assignments);

            // all supervisors
            Map<String, SupervisorInfo> supervisorInfos =
                    Cluster.get_all_SupervisorInfo(stormClusterState, null);

            // generate SupervisorSummaries
            List<SupervisorSummary> supervisorSummaries =
                    NimbusUtils.mkSupervisorSummaries(supervisorInfos,
                            assignments);

            NimbusSummary nimbusSummary =
                    NimbusUtils.getNimbusSummary(stormClusterState,
                            supervisorSummaries, data);

            ClusterSummary ret =
                    new ClusterSummary(nimbusSummary, supervisorSummaries,
                            topologySummaries);

            return ret;

        } catch (TException e) {
            LOG.info(""Failed to get ClusterSummary "", e);
            throw e;
        } catch (Exception e) {
            LOG.info(""Failed to get ClusterSummary "", e);
            throw new TException(e);
        }finally {
            double spend = (System.nanoTime() - start)/1000000.0d;
            SimpleJStormMetric.updateHistorgram(""getClusterInfo"", spend);
            LOG.info(""getClusterInfo spend {}ms"", spend);
        }
    }
"	get cluster's summary, it will contain SupervisorSummary and TopologySummary	get cluster's summary, it will contain SupervisorSummary and	1	0	9	31	186
